claim_id,claim_type,case,manuscript_location,manuscript_claim,expected_value,unit,dataset_and_frame_scope,denominator,split_role,preprocessing,checkpoint,prediction_source,matching_rule,metric_formula,aggregation,uncertainty_definition,reproduced_value,numerical_agreement,methodological_validity,classification,evidence,blocking_issue_or_note
DATA-NUC-SHAPE,dataset,Gastruloid nuclei,"main.tex:204,210",Dataset 3 set 1 image/stack size,"(362,305,180)",pixels,"Dataset 3 set 1 / movie2, all 10 frames","x,y,z",bold manuscript test set; config validation=test,,,,,,,,"x,y,z",exact,valid artifact statistic; split invalid for untouched-test inference,fully reproducible,evidence/annotation_summary.json; evidence/annotation_events.csv; evidence/tiff_inventory.csv,"Directly recomputable. Detection uses 145 merged eligible objects, not all 226 annotations."
DATA-NUC-FRAMES,dataset,Gastruloid nuclei,"main.tex:204,210",Dataset 3 set 1 number of frames,10,frames,"Dataset 3 set 1 / movie2, all 10 frames",10,bold manuscript test set; config validation=test,,,,,,,,10,exact,valid artifact statistic; split invalid for untouched-test inference,fully reproducible,evidence/annotation_summary.json; evidence/annotation_events.csv; evidence/tiff_inventory.csv,"Directly recomputable. Detection uses 145 merged eligible objects, not all 226 annotations."
DATA-NUC-ANNOTATIONS,dataset,Gastruloid nuclei,"main.tex:204,210",Dataset 3 set 1 annotated divisions,226,events,"Dataset 3 set 1 / movie2, all 10 frames",226,bold manuscript test set; config validation=test,,,,,,,,226,exact,valid artifact statistic; split invalid for untouched-test inference,fully reproducible,evidence/annotation_summary.json; evidence/annotation_events.csv; evidence/tiff_inventory.csv,"Directly recomputable. Detection uses 145 merged eligible objects, not all 226 annotations."
DATA-NUC-LENGTH-MEAN,dataset,Gastruloid nuclei,"main.tex:204,210",Dataset 3 set 1 mean division length,15.3,raw voxels,"Dataset 3 set 1 / movie2, all 10 frames",226 daughter pairs,bold manuscript test set; config validation=test,,,,,,,,15.327963201,display precision,valid artifact statistic; split invalid for untouched-test inference,fully reproducible,evidence/annotation_summary.json; evidence/annotation_events.csv; evidence/tiff_inventory.csv,"Directly recomputable. Detection uses 145 merged eligible objects, not all 226 annotations."
DATA-NUC-LENGTH-SEM,dataset,Gastruloid nuclei,"main.tex:204,210",Dataset 3 set 1 division-length uncertainty,0.2,"SEM, raw voxels","Dataset 3 set 1 / movie2, all 10 frames",226 daughter pairs,bold manuscript test set; config validation=test,,,,,,,,0.170393593,display precision,valid artifact statistic; split invalid for untouched-test inference,fully reproducible,evidence/annotation_summary.json; evidence/annotation_events.csv; evidence/tiff_inventory.csv,"Directly recomputable. Detection uses 145 merged eligible objects, not all 226 annotations."
DATA-MEM-SHAPE,dataset,Neural-tube membrane,"main.tex:196,210",Dataset 2 set 3 image/stack size,"(1024,1024,10)",pixels,"Dataset 2 set 3, 11 frames",,bold manuscript test set,,,,,,,,not independently computable; raw set-3 images and annotations absent,not independently checkable,not assessable from released raw data,currently not reproducible,evidence/artifact_audit_summary.json; evidence/regression_artifact_analysis.json; evidence/tiff_inventory.csv,"Release has derived movie_I2 (21 frames, consistent with set 2), not raw Dataset 2 set 3."
DATA-MEM-FRAMES,dataset,Neural-tube membrane,"main.tex:196,210",Dataset 2 set 3 number of frames,11,frames,"Dataset 2 set 3, 11 frames",,bold manuscript test set,,,,,,,,not independently computable; raw set-3 images and annotations absent,not independently checkable,not assessable from released raw data,currently not reproducible,evidence/artifact_audit_summary.json; evidence/regression_artifact_analysis.json; evidence/tiff_inventory.csv,"Release has derived movie_I2 (21 frames, consistent with set 2), not raw Dataset 2 set 3."
DATA-MEM-ANNOTATIONS,dataset,Neural-tube membrane,"main.tex:196,210",Dataset 2 set 3 annotated divisions,104,events,"Dataset 2 set 3, 11 frames",,bold manuscript test set,,,,,,,,not independently computable; raw set-3 images and annotations absent,not independently checkable,not assessable from released raw data,currently not reproducible,evidence/artifact_audit_summary.json; evidence/regression_artifact_analysis.json; evidence/tiff_inventory.csv,"Release has derived movie_I2 (21 frames, consistent with set 2), not raw Dataset 2 set 3."
DATA-MEM-LENGTH-MEAN,dataset,Neural-tube membrane,"main.tex:196,210",Dataset 2 set 3 mean division length,31.3,raw pixels,"Dataset 2 set 3, 11 frames",104 annotated divisions,bold manuscript test set,,,,,,,,not independently computable; raw set-3 images and annotations absent,not independently checkable,not assessable from released raw data,currently not reproducible,evidence/artifact_audit_summary.json; evidence/regression_artifact_analysis.json; evidence/tiff_inventory.csv,"Release has derived movie_I2 (21 frames, consistent with set 2), not raw Dataset 2 set 3."
DATA-MEM-LENGTH-SEM,dataset,Neural-tube membrane,"main.tex:196,210",Dataset 2 set 3 division-length uncertainty,0.3,"SEM, raw pixels","Dataset 2 set 3, 11 frames",104 annotated divisions,bold manuscript test set,,,,,,,,not independently computable; raw set-3 images and annotations absent,not independently checkable,not assessable from released raw data,currently not reproducible,evidence/artifact_audit_summary.json; evidence/regression_artifact_analysis.json; evidence/tiff_inventory.csv,"Release has derived movie_I2 (21 frames, consistent with set 2), not raw Dataset 2 set 3."
