command_id,phase,command,working_directory_or_context,inputs,frozen_overrides,outcome,exit_status,primary_outputs,notes
CMD-01,acquisition,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe -m napari_dare3d._data .,repo root,Zenodo 19113351,none,extraction complete; final Unicode print failed,exception after extraction,DARE3d_data_190326/,Released artifacts unchanged.
CMD-02,artifact audit,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/audit_artifacts.py,repo root,bundle/manuscript/source,seed 20260828,pass,0,manifests/inventories/arithmetic,No model execution.
CMD-03,checkpoint metadata,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/checkpoint_metadata.py,repo root,8 checkpoints,read-only,pass,0,checkpoint_metadata.json,Four best/last pairs differ.
CMD-04,saved nuclei replay,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/replay_saved_nuclei.py,repo root,probability/label/stats,.55/.15; matcher tolerances frozen,pass,0,nuclei replay JSON/CSVs,124/1/21 current; 121/4/24 stated.
CMD-05,edge cases,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/scientific_edge_cases.py,repo root,current production functions,24 assertions,pass,0,scientific_edge_cases.json,Non-fatal Numba warning.
CMD-06,regression artifacts,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/regression_artifact_analysis.py,repo root,stats/rasters/NPZs,19 assertions,pass,0,regression JSON/CSVs,Artifact-only.
CMD-07,nuclei seg checkpoint,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/checkpoint_compatibility.py --checkpoint best --scale-mode log_reconstructed --batch-size 12,repo root,epoch067/movie2,"scale [.912,.912,.912] from log",pass,0,segmentation best run,Exact objects; non-bitwise probability.
CMD-08,nuclei seg checkpoint,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/checkpoint_compatibility.py --checkpoint last --scale-mode log_reconstructed --batch-size 12,repo root,last/movie2,same geometry,pass,0,segmentation last run,123/4/22; F1 .904412.
CMD-09,scale diagnostic,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/checkpoint_compatibility.py --checkpoint best --scale-mode bundle_default --batch-size 12,repo root,epoch067/movie2,"fallback [.621,.621,2]",pass,0,segmentation fallback run,32/5/113; F1 .351648.
CMD-10,seg summary,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/summarize_checkpoint_compatibility.py,repo root,3 predeclared runs,9 assertions,pass,0,nuclei checkpoint summary,No post-hoc search.
CMD-11,membrane components,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/investigate_membrane_fp.py,repo root,probability/renderings/stats,"T,X,Y,Z order",pass,0,membrane FP evidence,12/12.
CMD-12,workflow/API,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/workflow_path_checks.py,repo root,manifest/paths/3 frames,public defaults,pass,0,workflow evidence,15/15 and real GPU smoke.
CMD-13,nuclei reg checkpoint,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/regression_checkpoint_compatibility.py --checkpoint best,repo root,epoch098/frozen centers,no seg rerun/tuning/resampling,pass,0,regression best run,21 aggregates within .02.
CMD-14,nuclei reg checkpoint,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/regression_checkpoint_compatibility.py --checkpoint last,repo root,last/frozen centers,same protocol,pass,0,regression last run,Max discrepancy 1.47155.
CMD-15,reg summary,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/summarize_regression_checkpoint_compatibility.py,repo root,2 predeclared runs,9 assertions,pass,0,regression checkpoint summary,epoch098 identified.
CMD-16,final package,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/build_final_audit_package.py --hash-manifest,repo root,all frozen evidence,no model/retraining,pass on finalization,0,ledgers/reports/manifest,Synthesis only.
CMD-17,angular metric,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/nematic_axis_metric_comparison.py,repo root,same predictions/truth/centers/matches,only metric changed; no retraining,pass,0,nematic comparison JSON/CSVs/report,14/14 assertions; 743 event rows.
CMD-18,nematic retraining preflight,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/nematic_retraining_experiment.py preflight --initialize-data,repo root,movie2/3/4 and archived regression config,seed 12345; log-reconstructed geometry,pass,0,preflight.json; experiment_config.json,10/10 assertions; production unchanged.
CMD-19,nematic retraining,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/nematic_retraining_experiment.py train,repo root,526 train crops; 156 validation crops,only angular loss changed,100 epochs complete; best epoch 95,0,checkpoint/logs/run_state,3338.20 seconds; 16700 steps; fresh initialization.
CMD-20,paired retraining evaluation,C:\Users\ruppr\.conda\envs\dare3d-v2.0\python.exe docs/reproducibility_audit/nematic_retraining_evaluation.py,repo root,original epoch098 and retrained epoch095,same events/centers/matches; corrected axis metric,pass,0,evaluation JSON/CSVs/predictions/report,10/10 assertions; all-GT corrected mean 14.894 to 12.575 degrees.
