artifact_id,category,expected_or_role,path_or_pattern,status,integrity_or_observation,used_for,evidence,impact
ART-SOURCE,source,current source snapshot,fe2b14d732359f2bdaf8b197574ad818899ce123,present/hash-frozen,222 tracked files,current-code checks,evidence/source_manifest_sha256.csv; evidence/provenance.json,Historical source absent.
ART-MANUSCRIPT,manuscript,active manuscript,manuscript_280826version/,present/hash-frozen,29 files,claim extraction,evidence/manuscript_manifest_sha256.csv,Untracked but read-only.
ART-ZIP,acquisition,published archive,DARE3d_data_190326.zip,present/verified,bytes=7048412887; md5=f8df147bb8249aad44b8ef1509d280dd; sha256=7eac84aa75d12cc8431d31d55b707823b4eaf986335207d3fa3f4fbb1fd64004,artifact source,evidence/provenance.json,Integrity verified.
ART-BUNDLE,data,extracted bundle,DARE3d_data_190326/,present/hash-frozen,278 files,all replays,evidence/data_manifest_sha256.csv; evidence/artifact_audit_summary.json,Released files unchanged.
ART-HIST-SOURCE,provenance,historical paper source,not supplied,absent,no snapshot,historical replay,evidence/artifact_audit_summary.json,Current compatibility is not historical reproduction.
ART-HIST-ENV,environment,historical lock/container,not supplied,absent,no complete environment,bitwise replay/retraining,evidence/environment_report.json,Checkpoint Lightning versions insufficient.
ART-SCALES,data,scales.json used by four configs,DARE3d_data_190326/**/scales.json,absent,"fallback=[.621,.621,2]",resampling/physical coordinates,evidence/nuclei_checkpoint_compatibility_summary.json,Fallback nuclei F1=0.351648.
ART-NUC-RAW,data,nuclei test image,DARE3d_data_190326/Gastruloid_241025/test_input/movie2.tif,present,byte-identical to training movie2,nuclei inference,evidence/duplicate_artifacts.json,Split independence not established.
ART-NUC-LABEL,annotation,nuclei daughter annotations,.../trainingset/movie2/label/movie2.tif,present,226 pairs; 145 evaluated components,nuclei metrics,evidence/annotation_summary.json,Exclusion/merging changes denominator.
ART-MEM-RAW,data,raw neural images,expected outside runs,absent,0 raw input TIFFs,membrane inference/retraining,evidence/regression_artifact_analysis.json,Blocks independent replay.
ART-MEM-LABEL,annotation,raw neural daughter labels,expected outside runs,absent,0 annotation TIFFs,matching/regression/retraining,evidence/regression_artifact_analysis.json,Blocks event validation.
ART-MEM-SET3,data,Dataset 2 set 3 (11 frames/104),not identifiable,absent/unresolved,released movie_I2 has 21 frames,membrane claims,evidence/tiff_inventory.csv,Result/dataset identity conflict.
ART-NUC-SEG-CONFIG,configuration,nuclei segmentation,.../segmentation3d_exp10-b/.hydra/config.yaml,present,100 epochs; batch12; val=test,segmentation,evidence/checkpoint_metadata.json,References missing scales.
ART-NUC-REG-CONFIG,configuration,nuclei regression,.../regression3d_exp10-b/.hydra/config.yaml,present,100 epochs; batch12; 5 stages/16,regression,evidence/checkpoint_metadata.json,References missing scales.
ART-MEM-SEG-CONFIG,configuration,membrane segmentation,.../segmentation3d_new_set_og/runs/12-01-26/.hydra/config.yaml,present,200 epochs; batch32; val=test,segmentation,evidence/checkpoint_metadata.json; evidence/workflow_path_checks.json,Callback paths identify 05-02-26.
ART-MEM-REG-CONFIG,configuration,membrane regression,.../regression3d_new_set_og/runs/12-01-26/.hydra/config.yaml,present,200 epochs; batch32; 3 stages/32,regression,evidence/checkpoint_metadata.json,Architecture differs from manuscript.
ART-NUC-SEG-CKPTS,checkpoint,nuclei segmentation best/last,"{epoch_067,last}.ckpt",present/distinct,epochs 67/99; Lightning2.2.5,inference,evidence/checkpoint_metadata.json; evidence/nuclei_checkpoint_compatibility_summary.json,epoch067 identified; non-bitwise.
ART-NUC-REG-CKPTS,checkpoint,nuclei regression best/last,"{epoch_098,last}.ckpt",present/distinct,epochs 98/99; Lightning2.2.5,inference,evidence/checkpoint_metadata.json; evidence/nuclei_regression_checkpoint_compatibility_summary.json,epoch098 aggregate identified.
ART-MEM-SEG-CKPTS,checkpoint,membrane segmentation best/last,"{epoch_057,last}.ckpt",present/distinct,epochs 57/131; Lightning2.5.6,inference,evidence/checkpoint_metadata.json,Raw input absent; run conflict.
ART-MEM-REG-CKPTS,checkpoint,membrane regression best/last,"{epoch_147,last}.ckpt",present/distinct,epochs 147/199; Lightning2.5.6,inference,evidence/checkpoint_metadata.json,Raw images/labels absent.
ART-NUC-PROB,prediction,nuclei probability,.../runs/01-01/movie2.tif,present,exact current evaluator,artifact/checkpoint replay,evidence/nuclei_saved_probability_replay.json,"epoch067 near-identical, not bitwise."
ART-MEM-PROB,prediction,membrane probability,.../runs/12-01-26/movie_I2.tif,present,197 components; 122 retained,component reconstruction,evidence/membrane_fp_investigation.json,Raw matching labels absent.
ART-SAVED-STATS,result,segmentation/regression stats,released runs/**/stats.csv,present,headline aggregates traceable,arithmetic/regression,evidence/provenance.json; evidence/regression_artifact_analysis.json,Stats do not prove provenance.
ART-NUC-REG-RAW,prediction,historical nuclei raw regression,expected NPZ,absent,0 NPZ,event-wise/bitwise comparison,evidence/regression_artifact_analysis.json,Only aggregate comparison possible.
ART-MEM-REG-RAW,prediction,membrane raw regression,released NPZs,present,3 arrays/350 predictions,raster calibration,evidence/npz_inventory.csv; evidence/regression_artifact_analysis.json,Truth only as uint8 line.
ART-LOGS,provenance,logs/TensorBoard,released runs/**,present/incomplete,best epoch and geometry clues,selection/geometry,evidence/checkpoint_metadata.json,Not a scale/environment substitute.
ART-SPLIT,split,distinct validation/test,saved configs,absent,test_dir=val_dir in all four,claim validity,evidence/checkpoint_metadata.json,Prevents untouched-test claim.
ART-NUC-CENTERS,intermediate,historical center-pair object,not supplied,absent,reconstructed from released probability,regression replay,evidence/nuclei_regression_checkpoint_compatibility_summary.json,"Strong compatibility, not bitwise provenance."
ART-NEMATIC,audit result,fixed-prediction nematic-axis comparison,docs/reproducibility_audit/evidence/nematic_axis_metric_comparison.*,present/asserted,14/14 assertions; 743 event rows,angular-metric counterfactual,evidence/nematic_axis_metric_comparison.json; evidence/nematic_axis_metric_comparison.csv; evidence/nematic_axis_event_metrics.csv,Production source and released artifacts unchanged.
ART-NEMATIC-RETRAIN,audit model/result,fresh nuclei nematic-loss retraining,docs/reproducibility_audit/nematic_retraining/seed_12345/,present/asserted,100 epochs; best epoch 95; 10/10 evaluation assertions,controlled loss/retraining counterfactual,nematic_retraining/seed_12345/evaluation.json; NEMATIC_RETRAINING_COMPARISON.md,"Validation=test, reconstructed scale, one seed; not exact historical retraining."
